Offset,Length,Encoding,Context,Text
$0b26d8,7,ascii,Bank $16 at $a6d8,"6L6'""Z{"
$0b270e,7,ascii,Bank $16 at $a70e,6L6'L%'
$0b2721,4,ascii,Bank $16 at $a721,6L6'
$0b2751,4,ascii,Bank $16 at $a751,LE'L
$0b276a,3,dq3_jp,Bank $16 at $a76a,[CTRL][$d7][$cc]
$0b2831,5,ascii,Bank $16 at $a831,"L;(""v"
$0b2860,5,ascii,Bank $16 at $a860,"L)(""~"
$0b2951,4,ascii,Bank $16 at $a951,"LD)"""
$0b2998,4,dq3_jp,Bank $16 at $a998,[CTRL][$d3][$cc][$a9]
$0b2a26,4,dq3_jp,Bank $16 at $aa26,[CTRL][$d8][$cc][$a2]
$0b2a38,4,dq3_jp,Bank $16 at $aa38,[CTRL][$d7][$cc][$a9]
$0b2a72,6,ascii,Bank $16 at $aa72,"Ly*""z*"
$0b2ac9,3,dq3_jp,Bank $16 at $aac9,[CTRL][$d8][$cc]
$0b2b10,4,dq3_jp,Bank $16 at $ab10,[CTRL][$d3][$cc][$a9]
$0b2cce,5,dq3_jp,Bank $16 at $acce,[CTRL][$d3][$cc]L[$d7]
$0b2d2d,4,ascii,Bank $16 at $ad2d,"L4-"""
$0b2d56,4,ascii,Bank $16 at $ad56,"Lk-"""
$0b2e47,5,ascii,Bank $16 at $ae47,"LQ.""<"
$0b2e5d,4,ascii,Bank $16 at $ae5d,"Lg."""
$0b2e73,5,ascii,Bank $16 at $ae73,"L}.""r"
$0b2ebb,5,ascii,Bank $16 at $aebb,"L//""~"
$0b2f29,4,dq3_jp,Bank $16 at $af29,[CTRL][$d3][$cc]L
$0b3038,4,ascii,Bank $16 at $b038,"L?0"""
$0b3048,5,ascii,Bank $16 at $b048,"LR0""<"
$0b3076,4,ascii,Bank $16 at $b076,"L}0"""
$0b3167,4,ascii,Bank $16 at $b167,"Ln1"""
$0b3230,5,ascii,Bank $16 at $b230,"L:2""j"
$0b3320,5,ascii,Bank $16 at $b320,"L*3""@"
$0b3336,5,ascii,Bank $16 at $b336,"LD3""n"
$0b3341,5,ascii,Bank $16 at $b341,"LH3""x"
$0b3351,5,ascii,Bank $16 at $b351,"L[3""<"
$0b3367,4,ascii,Bank $16 at $b367,"Lq3"""
$0b343f,4,ascii,Bank $16 at $b43f,"LF4"""
$0b344f,5,ascii,Bank $16 at $b44f,"LY4""<"
$0b3465,5,ascii,Bank $16 at $b465,"Lo4""8"
$0b34c9,4,ascii,Bank $16 at $b4c9,K5)@
$0b368c,4,dq3_jp,Bank $16 at $b68c,[CTRL][$d3][$cc]k
$0b3700,4,ascii,Bank $16 at $b700,"k""F}"
$0b375a,4,ascii,Bank $16 at $b75a,B5)@
$0b3761,4,ascii,Bank $16 at $b761,"Lk7"""
$0b3815,4,dq3_jp,Bank $16 at $b815,[CTRL][$d3][$cc]k
$0b3827,4,ascii,Bank $16 at $b827,"k""Sz"
$0b382e,5,ascii,Bank $16 at $b82e,"LE8""%"
$0b384e,4,ascii,Bank $16 at $b84e,"LX8"""
$0b3886,3,dq3_jp,Bank $16 at $b886,[CTRL][$d3][$cc]
$0b38b7,5,dq3_jp,Bank $16 at $b8b7,[CTRL][$d3][$cc]L[$94]
$0b390f,4,ascii,Bank $16 at $b90f,"L'9"""
$0b3924,4,ascii,Bank $16 at $b924,"L99"""
$0b3943,4,ascii,Bank $16 at $b943,"LM9"""
$0b3954,4,ascii,Bank $16 at $b954,"L~9"""
$0b399b,4,ascii,Bank $16 at $b99b,9Lm:
$0b39ca,3,dq3_jp,Bank $16 at $b9ca,[CTRL][$d8][$cc]
