Start,End,Size,Type,Confidence,Description,Hash
$09a800,$09ac00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c6592503
$09ac00,$09b000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,0f02789c
$09b000,$09b400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,1be559e6
$09b400,$09b800,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,0c04cbce
$09b800,$09bc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f566c838
$09bc00,$09c000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,56ed48a0
$09c000,$09c400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,647359bf
$09c400,$09c800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,49ef6ef2
$09c800,$09cc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,dbe7fbaa
$09cc00,$09d000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,11b079c7
$09d000,$09d400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,be1a40ef
$09d400,$09d800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a6038503
$09d800,$09dc00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,b91cb7dc
$09dc00,$09e000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,993bd41f
$09e000,$09e400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,f81c8110
$09e400,$09e800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,8e595dda
$09e800,$09ec00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$09ec00,$09f000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$09f000,$09f400,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$09f400,$09f800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$09f800,$09fc00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$09fc00,$0a0000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0a0000,$0a0400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e03bce92
$0a0400,$0a0800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,158899d1
$0a0800,$0a0c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,8d41b96b
$0a0c00,$0a1000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,20560074
$0a1000,$0a1400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a4b28e84
$0a1400,$0a1800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a1da64dd
$0a1800,$0a1c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ee330610
$0a1c00,$0a2000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d12dca79
$0a2000,$0a2400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ab05c38b
$0a2400,$0a2800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,52302393
$0a2800,$0a2c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8ed8116c
$0a2c00,$0a3000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,0765066b
$0a3000,$0a3400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,dd79836c
$0a3400,$0a3800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,293cf55c
$0a3800,$0a3c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e8958530
$0a3c00,$0a4000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,aff7b868
$0a4000,$0a4400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,97eca567
$0a4400,$0a4800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,2c880ec2
$0a4800,$0a4c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,654d4ce3
$0a4c00,$0a5000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,87ecc249
$0a5000,$0a5400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4238d68c
$0a5400,$0a5800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bbbe0d0e
$0a5800,$0a5c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,21e1e6c5
$0a5c00,$0a6000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,219bbfef
$0a6000,$0a6400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,572d4e6f
$0a6400,$0a6800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,da7462e0
$0a6800,$0a6c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c2fb0237
$0a6c00,$0a7000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,345c1fa0
$0a7000,$0a7400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,535b8f4b
$0a7400,$0a7800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7c09599b
$0a7800,$0a7c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8e283b6e
$0a7c00,$0a8000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a708a1ca
$0a8000,$0a8400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8181e1dc
$0a8400,$0a8800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c1b1989d
$0a8800,$0a8c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,57b9d566
$0a8c00,$0a9000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f095f1a9
$0a9000,$0a9400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,9bfe7d31
$0a9400,$0a9800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3bbe8a75
$0a9800,$0a9c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,84c72578
$0a9c00,$0aa000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,54ee848f
$0aa000,$0aa400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,14c2917e
$0aa400,$0aa800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e8b22496
$0aa800,$0aac00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bf5a72c0
$0aac00,$0ab000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c0920f0f
$0ab000,$0ab400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c7ad5b25
$0ab400,$0ab800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,75a87a44
$0ab800,$0abc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,992a7cc1
$0abc00,$0ac000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,16dd6a92
$0ac000,$0ac400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d0678f39
$0ac400,$0ac800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7ed4eb99
$0ac800,$0acc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5ab0d47a
$0acc00,$0ad000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f97e2133
$0ad000,$0ad400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,28635b6b
$0ad400,$0ad800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,93cfaf32
$0ad800,$0adc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f32437ce
$0adc00,$0ae000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4a5c34fe
$0ae000,$0ae400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,fbe79787
$0ae400,$0ae800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ee664272
$0ae800,$0aec00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,2cd89be6
$0aec00,$0af000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d1055dc8
$0af000,$0af400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,30f717cc
$0af400,$0af800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,c458ba71
$0af800,$0afc00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0afc00,$0b0000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0b0000,$0b0400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6c9931e2
$0b0400,$0b0800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c05786de
$0b0800,$0b0c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5cc6a85c
$0b0c00,$0b1000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a3c7be31
$0b1000,$0b1400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e93bccd2
$0b1400,$0b1800,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,57fa2520
$0b1800,$0b1c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4d7c6027
$0b1c00,$0b2000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4c4a3c52
$0b2000,$0b2400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6564e752
$0b2400,$0b2800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,08b8dc8d
$0b2800,$0b2c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a8dea616
$0b2c00,$0b3000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ccb441ec
$0b3000,$0b3400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,81592346
$0b3400,$0b3800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,61c8d75f
$0b3800,$0b3c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,46e4aa27
$0b3c00,$0b4000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,adda43d0
$0b4000,$0b4400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,95bb8b30
$0b4400,$0b4800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5aae3b71
$0b4800,$0b4c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,494c6733
$0b4c00,$0b5000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a0bd6373
$0b5000,$0b5400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c27a8feb
$0b5400,$0b5800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a75703de
$0b5800,$0b5c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,47b06c6c
$0b5c00,$0b6000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f6e37c2f
$0b6000,$0b6400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4e104b87
$0b6400,$0b6800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c9367f0f
$0b6800,$0b6c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,1a0827ec
$0b6c00,$0b7000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,00efaa74
$0b7000,$0b7400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,587e5b6c
$0b7400,$0b7800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e0ba4f8b
$0b7800,$0b7c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b54fa7cb
$0b7c00,$0b8000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5c0bc029
$0b8000,$0b8400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e21399f8
$0b8400,$0b8800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d95ca9af
$0b8800,$0b8c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,f98ef4bf
$0b8c00,$0b9000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c8550fb7
$0b9000,$0b9400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,6a9113d2
$0b9400,$0b9800,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,a6230b66
$0b9800,$0b9c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,2c7a52b7
$0b9c00,$0ba000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3ebdabf9
$0ba000,$0ba400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,164a16c6
$0ba400,$0ba800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ae160bf8
$0ba800,$0bac00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,5e27bbce
$0bac00,$0bb000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,54d6443c
$0bb000,$0bb400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7c4bbaea
$0bb400,$0bb800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1be99c18
$0bb800,$0bbc00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,e88aedca
$0bbc00,$0bc000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a8563b26
$0bc000,$0bc400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,318f3f08
$0bc400,$0bc800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,029a8149
$0bc800,$0bcc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1288576e
$0bcc00,$0bd000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,0f17577a
$0bd000,$0bd400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5de9711e
$0bd400,$0bd800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,365ff99d
$0bd800,$0bdc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,29d0a9f4
$0bdc00,$0be000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f4d34e12
$0be000,$0be400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,51b03cc4
$0be400,$0be800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d74e093c
$0be800,$0bec00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a97cf341
$0bec00,$0bf000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,673f1545
$0bf000,$0bf400,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0bf400,$0bf800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0bf800,$0bfc00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0bfc00,$0c0000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0c0000,$0c0400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a66f8b98
$0c0400,$0c0800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1cb8b209
$0c0800,$0c0c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3f5f6da6
$0c0c00,$0c1000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e45fab1b
$0c1000,$0c1400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d771138f
$0c1400,$0c1800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8719ec20
$0c1800,$0c1c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,aedcf6b0
$0c1c00,$0c2000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d1cdbc65
$0c2000,$0c2400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,45daff0b
$0c2400,$0c2800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e2e65d79
$0c2800,$0c2c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b1633cb8
$0c2c00,$0c3000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,22c75ef6
$0c3000,$0c3400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,db58ee2f
$0c3400,$0c3800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,2b55f39e
$0c3800,$0c3c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d8522231
$0c3c00,$0c4000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1d4392c8
$0c4000,$0c4400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ec9d9048
$0c4400,$0c4800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,820875bc
$0c4800,$0c4c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f1db3268
$0c4c00,$0c5000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bf08098e
$0c5000,$0c5400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,67e79228
$0c5400,$0c5800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8edd7462
$0c5800,$0c5c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b253c56a
$0c5c00,$0c6000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c151d0e0
$0c6000,$0c6400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bb6c9b50
$0c6400,$0c6800,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,ba6a2761
$0c6800,$0c6c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5f1a14f8
$0c6c00,$0c7000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,5bed3348
$0c7000,$0c7400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,d62e5ab2
$0c7400,$0c7800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d91b6617
$0c7800,$0c7c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,8b969107
$0c7c00,$0c8000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,fef5f064
$0c8000,$0c8400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,77fb8945
$0c8400,$0c8800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6a6d45ea
$0c8800,$0c8c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,317e80f7
$0c8c00,$0c9000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f08d84ea
$0c9000,$0c9400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,eb2aabb7
$0c9400,$0c9800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,34e88179
$0c9800,$0c9c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7a262088
$0c9c00,$0ca000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6963f372
$0ca000,$0ca400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d5014356
$0ca400,$0ca800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,adbeb1cf
$0ca800,$0cac00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,aeb72d29
$0cac00,$0cb000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,a89f469a
$0cb000,$0cb400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7c4f0af3
$0cb400,$0cb800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,453325b7
$0cb800,$0cbc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,9684239e
$0cbc00,$0cc000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c0f9d3f7
$0cc000,$0cc400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,944d4391
$0cc400,$0cc800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c2196af5
$0cc800,$0ccc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7c892325
$0ccc00,$0cd000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3e4458b0
$0cd000,$0cd400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,79ba2fe0
$0cd400,$0cd800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c9866574
$0cd800,$0cdc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,54d4c2e6
$0cdc00,$0ce000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c68a0190
$0ce000,$0ce400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f45d3897
$0ce400,$0ce800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,74924ead
$0ce800,$0cec00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6110ac6b
$0cec00,$0cf000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4b5889ee
$0cf000,$0cf400,1024,structured_data,0.70,Entropy-classified structured_data,b892d8ab
$0cf400,$0cf800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0cf800,$0cfc00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0cfc00,$0d0000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0d0000,$0d0400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b89788bc
$0d0400,$0d0800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e132a54a
$0d0800,$0d0c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,fcb310d8
$0d0c00,$0d1000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,aaa9691f
$0d1000,$0d1400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,f7d6612c
$0d1400,$0d1800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,cf36c84f
$0d1800,$0d1c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,9f7bc32b
$0d1c00,$0d2000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7a73b18d
$0d2000,$0d2400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,91d7d0cf
$0d2400,$0d2800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,9bfac55c
$0d2800,$0d2c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1a61caf0
$0d2c00,$0d3000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6b3498f1
$0d3000,$0d3400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,76c267ce
$0d3400,$0d3800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,01a9f141
$0d3800,$0d3c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,d092006c
$0d3c00,$0d4000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,6bc900e9
$0d4000,$0d4400,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,ec92def2
$0d4400,$0d4800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,65176ef2
$0d4800,$0d4c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,3dcf22d6
$0d4c00,$0d5000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e55b1e72
$0d5000,$0d5400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,9c036a6c
$0d5400,$0d5800,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,85aadc90
$0d5800,$0d5c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,0f7784da
$0d5c00,$0d6000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,910c3b39
$0d6000,$0d6400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,032c0275
$0d6400,$0d6800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b850d67a
$0d6800,$0d6c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4b3bb83a
$0d6c00,$0d7000,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,ddbfe251
$0d7000,$0d7400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f68e21af
$0d7400,$0d7800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,12967b85
$0d7800,$0d7c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,1f420d1b
$0d7c00,$0d8000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bc9e8ccb
$0d8000,$0d8400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,f2c8c827
$0d8400,$0d8800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,5c5b614a
$0d8800,$0d8c00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,9f3de743
$0d8c00,$0d9000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,2bd9502c
$0d9000,$0d9400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4452b140
$0d9400,$0d9800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,c0e37368
$0d9800,$0d9c00,1024,compressed_or_random,0.50,Entropy-classified compressed_or_random,086f9237
$0d9c00,$0da000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,279ed86f
$0da000,$0da400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3e93654d
$0da400,$0da800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4305ecf2
$0da800,$0dac00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3a6c0ab0
$0dac00,$0db000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,17bc0c26
$0db000,$0db400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,3203844b
$0db400,$0db800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,4d51a1b2
$0db800,$0dbc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b7c34b36
$0dbc00,$0dc000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,86c498b0
$0dc000,$0dc400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,b8fb5909
$0dc400,$0dc800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,fc1c5adc
$0dc800,$0dcc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,e5fc754f
$0dcc00,$0dd000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,ea40ca8e
$0dd000,$0dd400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,bfe7eebf
$0dd400,$0dd800,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,09cc0886
$0dd800,$0ddc00,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,0794a774
$0ddc00,$0de000,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,7eb89a89
$0de000,$0de400,1024,graphics_or_audio,0.70,Entropy-classified graphics_or_audio,2abc3780
$0de400,$0de800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0de800,$0dec00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0dec00,$0df000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0df000,$0df400,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0df400,$0df800,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0df800,$0dfc00,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
$0dfc00,$0e0000,1024,repetitive_data,0.80,Entropy-classified repetitive_data,9a8918b1
